"filename", "language", "JavaScript", "JSON", "vue", "Markdown", "HTML", "Environment Variables", "XML", "CSS", "comment", "blank", "total"
"d:\projects\Dermalens\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\projects\Dermalens\backend\config.env", "Environment Variables", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\projects\Dermalens\backend\config\db.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\projects\Dermalens\backend\config\multer.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 4, 19
"d:\projects\Dermalens\backend\controllers\authController.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 7, 7, 65
"d:\projects\Dermalens\backend\controllers\postController.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 4, 6, 200
"d:\projects\Dermalens\backend\middlewares\autherizer.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"d:\projects\Dermalens\backend\models\medical.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects\Dermalens\backend\models\token.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\projects\Dermalens\backend\models\user.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\projects\Dermalens\backend\package-lock.json", "JSON", 0, 1807, 0, 0, 0, 0, 0, 0, 0, 1, 1808
"d:\projects\Dermalens\backend\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\projects\Dermalens\backend\routes\authRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\projects\Dermalens\backend\routes\postRoutes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\projects\Dermalens\backend\routes\testRoutes.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 6, 159
"d:\projects\Dermalens\backend\server.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 8, 39
"d:\projects\Dermalens\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\projects\Dermalens\package-lock.json", "JSON", 0, 2696, 0, 0, 0, 0, 0, 0, 0, 1, 2697
"d:\projects\Dermalens\package.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\projects\Dermalens\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\projects\Dermalens\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\projects\Dermalens\src\App.vue", "vue", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\projects\Dermalens\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\projects\Dermalens\src\components\LoginCard.vue", "vue", 0, 0, 106, 0, 0, 0, 0, 0, 6, 22, 134
"d:\projects\Dermalens\src\components\about_us.vue", "vue", 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"d:\projects\Dermalens\src\components\analysis.vue", "vue", 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"d:\projects\Dermalens\src\components\footer.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\projects\Dermalens\src\components\navbar.vue", "vue", 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"d:\projects\Dermalens\src\components\navbar_test.vue", "vue", 0, 0, 36, 0, 0, 0, 0, 0, 2, 5, 43
"d:\projects\Dermalens\src\components\test.vue", "vue", 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"d:\projects\Dermalens\src\components\upload.vue", "vue", 0, 0, 93, 0, 0, 0, 0, 0, 0, 11, 104
"d:\projects\Dermalens\src\components\upload_preview.vue", "vue", 0, 0, 111, 0, 0, 0, 0, 0, 2, 13, 126
"d:\projects\Dermalens\src\main.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\projects\Dermalens\src\router\router.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 4, 34
"d:\projects\Dermalens\src\store\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 1, 2, 48
"d:\projects\Dermalens\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\projects\Dermalens\src\views\about.vue", "vue", 0, 0, 18, 0, 0, 0, 0, 0, 1, 4, 23
"d:\projects\Dermalens\src\views\dashboard.vue", "vue", 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"d:\projects\Dermalens\src\views\home.vue", "vue", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\projects\Dermalens\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\projects\Dermalens\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 627, 4553, 659, 3, 13, 3, 2, 3, 39, 158, 6060
